,0
366,@itssunilbehera @Zoomcar_India Never ever use zoom car.
367,@itssunilbehera @Zoomcar_India Yes bro
368,@Zoomcar_India I raised this issue a week ago and there is no action on the same. @Zoomcar_India #zoomcar #selfdrive #RRvCSK #CSKvRR
369,@Jay_1810 We apologize for the delay. Please be assured that the issue has been escalated and that the team will co… https://t.co/Oh2yP7udVn
370,@Abhishek85verma We apologize for the delay. Please be assured that the issue has been escalated and that the team… https://t.co/hNb3gYdXiz
371,"@AshishK48272064 Hello Ashish, We are sorry for the delay here. Please note that, As per the bill amount which was… https://t.co/oSGoSCzsrS"
372,"@AshishK48272064 Hello Ashish, We are sorry for the delay here. Please note that, As per the bill amount which was… https://t.co/cuC3VjvyCg"
373,"@AshishK48272064 Hello Ashish, We are sorry for the delay here. Please note that, As per the bill amount which was… https://t.co/xKEmxxA0Um"
374,"@AshishK48272064 Hello Ashish, We are sorry for the delay here. Please note that, As per the bill amount which was… https://t.co/cgl9B1dEth"
375,"@AshishK48272064 Hello Ashish, We are sorry for the delay here. Please note that, As per the bill amount which was… https://t.co/3PCZwb9dD0"
376,"Still waiting to hear from @Zoomcar_India @ZoomcarPUN. Also, have been trying to log into the app, but the OTP isn'… https://t.co/c21UWaS08X"
377,@Zoomcar_India I want my refund today 1820 in my account. I am very frustrated right now.
378,@Zoomcar_India Do you really have any customer support. All the time boat will answer. If I called on you customer… https://t.co/2mKiciMWXX
379,"@aasharma8102 Hello Anuj, we deeply regret the inconvenience caused to you. We are here to help you with your conce… https://t.co/0fYV4yeV9N"
380,"@sangit_sagar Hence, we request you to kindly share with us the valid odometer image files for our validation along… https://t.co/7loo3C50B2"
381,"@sangit_sagar Hello Sangit, we understand your concern and disappointment. We are here to help you with your concer… https://t.co/ClgCN5QTxv"
382,"@sangit_sagar Hence, we request you to kindly share with us the valid odometer image files for our validation along… https://t.co/gbgzG4ircj"
383,"@sangit_sagar Hello Sangit, we understand your concern and disappointment. We are here to help you with your concer… https://t.co/gZkSlENYHZ"
384,"@rokade_darshan Hello Darshan, We are sorry for the delay here. As we check the team has already addressed your concern."
385,"Such pathetic response from zoomcar
Noone reply for query. I used zoomcar service for trip and there's a  car break… https://t.co/5nbgjLRGnN"
386,"@Abhishek85verma Therefore, we request you to kindly elaborate on your concern in detail with your booking ID. We s… https://t.co/Y6iwHHkpOv"
387,"@Abhishek85verma Our email team shall respond to your concern. However, in case your face any issues during your li… https://t.co/7fhxJ7QSz8"
388,"@Abhishek85verma we apologize for any inconvenience caused, we would like to bring to your notice that we do not ha… https://t.co/xyKGNgda2g"
389,@Zoomcar_India zoomcar is very poor .They don't even have any customer service.I booked zoomcar and I end my trip o… https://t.co/OuzhDqH2pQ
390,"@Zoomcar_India Are u still following ?
No updates from customer care for the repairing plan...they are only changin… https://t.co/ycAQH2cl2L"
391,@Zoomcar_India Still haven't received your call. Standing here since 2 hours
392,@Kameshkumartata @ZoomCarIndia They won't share any bro. They are simply looting money from us and also from the ho… https://t.co/dFcZGVvUuy
393,@rokade_darshan We apologize for the delay. Please be assured that the issue has been escalated and that the team w… https://t.co/Vxr9sA6rLC
394,@023ved It will get settled into your account within 7 working days. We would appreciate your understanding in this matter.
395,@023ved so we will share strong feedback with our companion and take necessary measures to secure that such errors… https://t.co/PsdXzpn4lN
396,@023ved We understand your disappointment and we apologize for having such an unpleasant experience with us. We are… https://t.co/mTw7HYgr7y
397,"@Zoomcar_India one of the worst service by zoomcar, giving fake news and promises. If I pay fastag amount from my p… https://t.co/dEEP1xCB7L"
398,@Zoomcar_India This is really not expected from zoomcar and we're standing here since 2 hours and even the host is… https://t.co/hTPE6nsznS
399,"@rokade_darshan We regret the inconvenience caused to you. In order to assist you further, we would require your bo… https://t.co/xlSzpXE0Cc"
400,"@Zoomcar_India we've booked a zoomcar in Goa, we're at the car's location since 2 hours and we are not able to loca… https://t.co/nHv2qjk6CA"
401,@Zoomcar_India As you can see on the top of the screenshot. @Zoomcar_India #zoomcar #selfdrive
402,"@siddumtv Hello Siddharth, after reviewing your concern and checking with the concerned team. We have shared the de… https://t.co/yFuYYKGHeT"
403,"@DerekShepherd_7 Hello Derek, we are really sorry for the inconvenience caused, please allow us some time, we shall… https://t.co/e9SCg3KQZa"
404,"@irshaduddin1997 Hello Irshad, We are sorry for the delay here. Please note that the refund has been done from our… https://t.co/2KUeq1dlkb"
405,@warriervee We apologize for your disappointment. Please elaborate on your concern so that we can look into it and… https://t.co/gjy4sHRPxN
406,@Arvind_IITrpr We are sorry for the inconvenience caused. We would like to inform you that the refund has been init… https://t.co/BO2wjakMxT
407,@Zoomcar_India @Zoomcar_India okay! BUT MY FINAL FEEDBACK WOULD BE NEVER USE THE ZOOMCAR. ALWAYS USE other availabl… https://t.co/2iUdaFbYZP
408,"@Zoomcar_India Please check your dm for further facts, do not try to put false allegations. I request you to please… https://t.co/vpkkDZX6sR"
409,"@Zoomcar_India Please check your dm for further facts, do not try to put false allegations. I request you to please… https://t.co/6kqXftttaY"
410,"@Zoomcar_India Please check your dm for further facts, do not try to put false allegations. I request you to please… https://t.co/BeQa9EHZl9"
411,"@Zoomcar_India Such a bad service I'm waiting for my refund from 9 days but i have not got any refund , I don't kno… https://t.co/Be0tSEvDON"
412,@SumanDevarakon3 We kindly request you to kindly review the same from your end and revert us back with the requeste… https://t.co/fdc5z9rw5m
413,"@SumanDevarakon3 Hello Suman, we are sorry for the delayed response and any inconvenience caused to you. As checked… https://t.co/dpdE8raVnN"
414,@SumanDevarakon3 We kindly request you to kindly review the same from your end and revert us back with the requeste… https://t.co/e9bD2T8oH8
415,"@SumanDevarakon3 Hello Suman, we are sorry for the delayed response and any inconvenience caused to you. As checked… https://t.co/cvJivMZg7R"
416,@SumanDevarakon3 We kindly request you to kindly review the same from your end and revert us back with the requeste… https://t.co/JkSRHe1KiD
417,"@SumanDevarakon3 Hello Suman, we are sorry for the delayed response and any inconvenience caused to you. As checked… https://t.co/MekN9dBSvk"
418,@SumanDevarakon3 We kindly request you to kindly review the same from your end and revert us back with the requeste… https://t.co/1tfdDKwwvr
419,"@SumanDevarakon3 Hello Suman, we are sorry for the delayed response and any inconvenience caused to you. As checked… https://t.co/7AKLpwNEUW"
420,@SumanDevarakon3 We kindly request you to kindly review the same from your end and revert us back with the requeste… https://t.co/JoJ3i80CNz
421,"@SumanDevarakon3 Hello Suman, we are sorry for the delayed response and any inconvenience caused to you. As checked… https://t.co/4mHVYA59Wy"
422,@Zoomcar_India 2/2 I haven't received the amount for the fastag of rs 820. May I know what is the status on that. L… https://t.co/I6yxrCrgIs
423,@Zoomcar_India trip Id jps69x2tj you have charged me inr 10000 for parts missing saying post inspection  no proof p… https://t.co/ZCCsKSIh0c
424,"@Zoomcar_India Hi Team, I have received an amount of 339 and 468 which is of total 807 I have received. I am not su… https://t.co/dOVqEi5PTN"
425,"@MrGarvkr You still haven't responded to us. We have sent you the same email message once again, we request you to… https://t.co/dmZRdMKva3"
426,"@MrGarvkr Hello Gaurav, we sincerely apologise for the delay in responding and the inconvenience this has caused yo… https://t.co/x5ffr0AGqm"
427,"@MrGarvkr You still haven't responded to us. We have sent you the same email message once again, we request you to… https://t.co/vcpBxByE6p"
428,"@MrGarvkr Hello Gaurav, we sincerely apologise for the delay in responding and the inconvenience this has caused yo… https://t.co/CNMTEC1o8R"
429,"@MrGarvkr You still haven't responded to us. We have sent you the same email message once again, we request you to… https://t.co/JsYUbhoyOq"
430,"@MrGarvkr Hello Gaurav, we sincerely apologise for the delay in responding and the inconvenience this has caused yo… https://t.co/BbKXpYQ8sp"
431,@ShashiTotad07 We are sorry for the delayed response. We have escalated the issue to our concerned team. Rest assur… https://t.co/RrfyN95uaT
432,@ShashiTotad07 We are sorry for the delayed response. We have escalated the issue to our concerned team. Rest assur… https://t.co/JoKLuPzcAP
433,"@Zoomcar_India Tried to create a ticket but was unable to do that. If possible, Please create a ticket at your end let me know."
434,"@SuryaN_Dasari We regret the inconvenience caused to you. In order to assist you further, we would require your tic… https://t.co/Mio17YtCCG"
435,"@Zoomcar_India Hi, for the Booking JPSNCYF16 Payment not received till now. It was completed yesterday. https://t.co/eSWU7GTPtW"
436,"@pratikrajmishra Hello Pratik, We are sorry for the inconvenience caused. we shall be unable to do much in this cas… https://t.co/6wzsf0DKMC"
437,"@Zoomcar_India Helloo, you asked for my details but no communication yet. Will my issue be resolved or not?? Please call asap."
438,"@StephenDsouza38 We regret the inconvenience caused to you. In order to assist you further, we would require your e… https://t.co/9yhJpNoq2J"
439,@Zoomcar_India You have not responded to my issue.
440,@Zoomcar_India DM you all details
441,"@harish_1528 Hello Harish, after reviewing your concern and checking with the concerned team. We have shared the de… https://t.co/YHYuPWVlMX"
442,@Sahil_officio We are sorry for the delayed response. We have responded through Direct Message for your concern rai… https://t.co/0xGgKgahnS
443,"@gulmohar2482 We regret the inconvenience caused to you. In order to assist you further, we would require your vehi… https://t.co/S4oFQV4PF8"
444,"@Zoomcar_India I look forward to hearing from you, as i used to have a high regard of the business model of zoomcar… https://t.co/XRgVfI6Ujg"
445,"It's the land of kings vs the land of temples.

Which team will transport us to the grandeur of Rajasthan, or show… https://t.co/2I8D8RmsJd"
446,@Zoomcar_India I finally could get this email address after going through the complete zoomcar host policy. I could… https://t.co/rrCgx52SRe
447,"@Zoomcar_India I tried raising a complaint via zoomcar host app, however i am told there is a system issue and aske… https://t.co/Ejze88g448"
448,"@Zoomcar_India Ithe reason for Zoomcar to refuse adding the tracking device while it allows me to list the car, go… https://t.co/rryUfubEPq"
449,"@Zoomcar_India However, i am being told now, as per Zoomcar policy, no car is allowed before 2016 to be hosted on z… https://t.co/OzVPoE3Qoi"
450,@Zoomcar_India I recently decided to avail the Zoomcar Host program to list my huyundai eon 2015 model car. I was a… https://t.co/nooMAmtgYX
451,"@Shyamsundar1602 We are sorry for the inconvenience caused. As checked, we see your booking has been completed and… https://t.co/hU2kAK8iou"
452,"@Zoomcar_India Just tell me when zoomcar host Support timing 24 to 48  hours complete, because I'm more than 24 to… https://t.co/3id0iRABnJ"
453,"Consumer/Personal Tech
@PlayMPL  
@PhilipsHomeIN and @RuderFinnIndia  
@myfreshtohome and @KaizzenComm… https://t.co/IY57D9Sx4v"
454,"@ali2hassan88 Hello Ali Hassan, we deeply regret the inconvenience caused to you. We are here to help you with your… https://t.co/URntOUgVxo"
455,"@p16abhishek Hello Abhishek, We are sorry for the delay here. As we check your account has been approved."
456,"@Streetbuygifts We understand your dismay over the difficulties you have encountered. Also, we appreciate your pati… https://t.co/Deu8t1pxts"
457,"@Streetbuygifts We understand your dismay over the difficulties you have encountered. Also, we appreciate your pati… https://t.co/TMlqOu31mE"
458,"@Streetbuygifts We understand your dismay over the difficulties you have encountered. Also, we appreciate your pati… https://t.co/gEAxvzTl18"
459,"@Zoomcar_India @ZoomcarMUM @ZoomcarPUN @ZoomcarCHN
My vehicle number

MH47AK9406
PLEASE Immediately remove zoomcar… https://t.co/ruSg37RW9Q"
460,@Zoomcar_India Return my money @Zoomcar_India  @morang
461,@VenkateshT17277 We deeply regret that we were unable to encompass your reservation. We would like to inform you th… https://t.co/cbBemtsIHh
462,@VenkateshT17277 We deeply regret that we were unable to encompass your reservation. We would like to inform you th… https://t.co/4yxovQpILc
463,@VenkateshT17277 We deeply regret that we were unable to encompass your reservation. We would like to inform you th… https://t.co/9YwA5V87fr
464,"@Zoomcar_India Thus, we demand a full refund for the inconvenience we have faced. Should the issue persist, we will… https://t.co/BitaGDfwQe"
465,"@Zoomcar_India Furthermore, when we finished our trip early, precisely at 9:52, the door refused to lock, which pro… https://t.co/9rSVLQMuKj"
466,"@Zoomcar_India Last evening, we made a reservation with Zoomcar, but to our disappointment, this morning we were un… https://t.co/471lXzO0NB"
467,"@Zoomcar_India Hello @Zoomcar_India @Zoomcar_India @Zoomcar_India 
What’s the update????"
468,@Zoomcar_India Pls understand that I had to cancel the booking because the owner declined the ride by telling me he… https://t.co/iLenhEe2Oi
469,"ZOOMCAR is The Worst Carsharing Platform that exists 
There have been numerous complaints and issues with the… https://t.co/ue7ed7Bxhx"
470,"@Gaurav99271 We regret the inconvenience caused to you. In order to assist you further, we would require your ticke… https://t.co/LWvCcX7tUB"
471,@Zoomcar_India When will you return my money @Zoomcar_India
472,"@akashmshr293 Hello Akash, We are sorry for the trouble you have been going through. Request you to please share wi… https://t.co/4wt4vI7YUj"
473,"@iamMuthaheer Unfortunately, we need some more time to have your concern resolved. We'll share an update with you i… https://t.co/YMMoOK5njs"
474,"@iamMuthaheer Hello Muthaheer, please accept our sincere apologies for the delay in responding and the inconvenience caused to you."
475,"@iamMuthaheer Unfortunately, we need some more time to have your concern resolved. We'll share an update with you i… https://t.co/sOLkRQ1mAa"
476,"@iamMuthaheer Hello Muthaheer, please accept our sincere apologies for the delay in responding and the inconvenience caused to you."
477,"@iamMuthaheer Unfortunately, we need some more time to have your concern resolved. We'll share an update with you i… https://t.co/QZuO1qShq0"
478,"@iamMuthaheer Hello Muthaheer, please accept our sincere apologies for the delay in responding and the inconvenience caused to you."
479,@Zoomcar_India Booking id:JPSNCPRMC
480,"@Chandan46898554 We apologize for the significant delay in responding to your concern on our part, but please rest… https://t.co/pq9mJY6sMO"
481,@Zoomcar_India Dear @Zoomcar_India what is this? Why you people are not responding still?? is this fair? is this ethical??
482,@Yusuf54697629 please refer to the given link- https://t.co/Z5rFDvnyeQ. Please click on the option “Start Earning”… https://t.co/6Pzqdk60fJ
483,@Yusuf54697629 thank you for reaching out to us and we are glad to know that you are interested in our Zoomcar Host… https://t.co/r9tvrOVUc0
484,@Zoomcar_India how you will compensate on the same?
485,@TXingh Rectifying measures will be taken to ensure such issues are minimized. Appreciate your kind understanding on this matter.
486,"@TXingh We are sorry for any inconvenience caused. In regard to the car condition, we do follow a strict protocol i… https://t.co/bruMu80GFE"
487,@Zoomcar_India When u have initiated the refund?
488,@manoj98reddy We are sorry for the trouble you have been going through. Please share the call log screenshot with u… https://t.co/mPdmUKCFTh
489,"@manoj98reddy Hello Manoj, We sincerely apologize for the inconvenience you have experienced. Rest assured that we… https://t.co/tkPVGWKmXL"
490,"@Zoomcar_India I have received messages like these before, but no refund yet. https://t.co/RtvPipmjnl"
491,@rakshit_300797 We apologize for the delay. Please be assured that the issue has been escalated and that the team w… https://t.co/ljNN4ze7e4
492,"@SalilK10 We are sorry for the inconvenience caused. As checked, we see that the charges levied is for rescheduling… https://t.co/0eOfv4mqkn"
493,"@rakshit_300797 We regret the inconvenience caused to you. In order to assist you further, we would require your bo… https://t.co/hxXzh4TILM"
494,@Zoomcar_India @Zoomcar_India let me know the alternative way or else I should see for alternatives
495,"@akashmshr293 We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/3Glizt5jOn"
496,"@Zoomcar_India I have received this same message on 13th April, and i still haven’t received my refund."
497,@sidd055 We sincerely apologize for the inconvenience you have experienced. Rest assured that we have initiated the… https://t.co/Wcu1KNsZ8X
498,@Zoomcar_India I keep receiving these templates but no resolutions yet.
499,@sidd055 We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
500,"@RajivRajivpers We regret the inconvenience caused to you. In order to assist you further, we would require your re… https://t.co/DzW6kkdXDk"
501,"@Zoomcar_India i had booked a Zoomcar (ID - JPSNCG312) on 25th March, 2023 for the duration of 7 days and cancelled… https://t.co/oK9kNLsNxP"
502,"@pratiiiiik We regret the inconvenience caused to you. In order to assist you further, we would require your bookin… https://t.co/yr3ej0xw5b"
503,"@Zoomcar_India Although we arrived on time, we suffered a lot due to a technical glitch on your end. The trip seems… https://t.co/NcenATf0iy"
504,@manoj98reddy We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
505,@manoj98reddy We apologize for the inconvenience this has caused. Please give us some time to check and get back to you as soon as possible.
506,"Hey @Zoomcar_India, extremely disappointed with your service! Not only did you fail to refund my fastag toll amount… https://t.co/o8Dqa17EaI"
507,@Zoomcar_India hi kindly de register my car device due to my car gps not working properly I raised this ticket in h… https://t.co/To3QXiVzxk
508,@Zoomcar_India Height of ignorance…no reply…@morang….is your team serious about the customer service @Zoomcar_India… https://t.co/vuvv3sIqGF
509,@Zoomcar_India I’ve raised fastag refund thrice thru chatbot but service request is not getting recorded. Have rein… https://t.co/v3Mh41wlsr
510,"@Zoomcar_India 
Today I had a booking I went to the location the car is not there and tried calling you guys 10-15… https://t.co/Slft8Hye4Y"
511,@Zoomcar_India Please solve https://t.co/iD8sLe9cUn
512,"@Zoomcar_India @morang Hi, 

I want to follow back on my issue. My car got damaged in last booking with the id JPSN… https://t.co/t4mHIhbyfE"
513,"@Zoomcar_India we have booked a car for 3 days , we are at location to pick up the car, now host is saying the car… https://t.co/JtNopbOcqA"
514,"@Zoomcar_India 
Why the refund is not initiated yet booking id JPS64P26L"
515,@Zoomcar_India Jump all red signals . Host will pay chalans from his pocket @Zoomcar_India  My car has received cha… https://t.co/GOINQGTVsb
516,@Zoomcar_India Keep cool and pay challans for @Zoomcar_India customers .  My car has received challan worth 8500 fr… https://t.co/sbTyiFeM5i
517,"@Zoomcar_India What about supervillains who break rules and make chalans , does host pay for it @Zoomcar_India  My… https://t.co/n3AANNMYdl"
518,"@Zoomcar_India Tick tick tick , drink drive break rules . Host will play challans @Zoomcar_India  My car has receiv… https://t.co/Pgi53awwSf"
519,@Zoomcar_India I care about my money more than ipl @Zoomcar_India  My car has received challan worth 8500 from serv… https://t.co/O4zri4tDlX
520,@Zoomcar_India I have an upcomingbooking JPSNCYF0O which is blocked with an incorrect Outstanding. Can you please f… https://t.co/5Ck273yfQa
521,@Zoomcar_India @Zoomcar_India what do you call a customer service which is sleepy.  My car has received challan wor… https://t.co/XQf01a7Jv7
522,"@Zoomcar_India @Zoomcar_India aur chaln karwa I, tumhara baap bharega. My car has received challan worth 8500 from… https://t.co/WNloUzsn72"
523,"@Zoomcar_India @Zoomcar_India I am using ZoomCar version 10.0.0 on Android 12, this is the latest version, there is… https://t.co/aMy921KjYa"
524,Zoom host app has glitches everytime while filling start checklist even though after struggling to fill checklist t… https://t.co/vze4wDlAec
525,@Zoomcar_India Why do you even ask me to register when you don't even let me register??? #PatheticApp #WorstExperienceEver
526,"@Zoomcar_India Sharing the booking ID i.e. JPSNCPJDK, please check through the bookings and initiate the refund at… https://t.co/AfZxyj7i0h"
527,"@Zoomcar_India I want un-attach my car from zoom platform,instead of giving me payouts your giving me -1075 or dedu… https://t.co/wEMlYmZ2zx"
528,@Zoomcar_India Your team didn t even approachd me once . This is how you deal with ur clients. Its been a month i d… https://t.co/iJDHb63i17
529,"@Zoomcar_India No one reached me on email too, awaiting for your email @Zoomcar_India"
530,"@Zoomcar_India JPSNCPKMI
This is my booking id solve this problem in next 24 hours and rembusment my fule amount th… https://t.co/IXwrSEYiVb"
531,@Sumanbaswal5 @Zoomcar_India Send me your matter DM inbox
532,"@Zoomcar_India 

what resolution are you working on.....can anyone respond or i should take delhi police's help..."
533,@StephenDsouza38 We are sorry for the inconvenience caused. Please check the application version and get it updated… https://t.co/0NswZeC6iR
534,"@Jay_1810 We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
535,"@AnkitPa91995107 We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
536,"@Zoomcar_India is fraud company don't book the car from zoom.
When i get the car fule was 5% and drop-off time fule… https://t.co/JFuz3YOSG0"
537,@Zoomcar_India @ZoomcarMUM @ZoomcarBLR @MiIndiaSupport @RedmiSupportIN ZoomCar please have a look at the screen rec… https://t.co/l5JjCt4ZeM
538,This is so disgusting that @Zoomcar_India is not even responding to the fastag billing. I have raised complaints ma… https://t.co/wAWinzCzVJ
539,@Sumanbaswal5 @Zoomcar_India @Reena28 Not yet.
540,@Zoomcar_India Sure! Still I have this strong feedback that such issues need to be seriously addressed. Not everyon… https://t.co/yV099pe3n7
541,"Why would one go to the location and not pick up the vehicle? 
Why would we still continue with our plan on bike?
W… https://t.co/5gRCEADV0G"
542,"@Zoomcar_India 
 Booking ID: JPSNCY5KV
*Booked a vehicle &amp; pickup time 4 am on 22/04
*At 3:50 am, car not seen on l… https://t.co/W1Ny0JlBhs"
543,@Zoomcar_India @zoomcar @consumercourtin @CMMadhyaPradesh I want to knowstatus ofy complaint my id is JPSNC3F0O how… https://t.co/uiwSXzhBtF
544,"@AMITTARIYAL1 We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/jL2oPc3Ib9"
545,"@AMITTARIYAL1 We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/zVSksTz6Zm"
546,"@RajivRajivpers We regret the inconvenience caused to you. In order to assist you further, we would require your re… https://t.co/tvjtTuk4iW"
547,"@Mahesh_devji We regret the inconvenience caused to you. In order to assist you further, we would require your book… https://t.co/TQ9iOU7G4i"
548,@Zoomcar_India second is the ridiculous response to which i have replied and am sure there wont be a response since… https://t.co/eitPb4xlLi
549,"@Zoomcar_India 4. I chose the car, but time was from 7:30 proposed automatically. Surprisingly i was slapped a resc… https://t.co/dJ7bcz7whG"
550,@Zoomcar_India Worst service provider @Zoomcar_India  @morang
551,"@Zoomcar_India 2. I am struggling to get the keys of the car as host was not there. The time is 7:15
3. cust serv a… https://t.co/F9HlZIzHDN"
552,@Zoomcar_India @Zoomcar_India Just happened again. A frivolous response and ticket marked resolved. There are so ma… https://t.co/9ZfuN5tbCj
553,@Zoomcar_India @Shubhm17613971 They never will . I had a similar experience.. the car broke like literally after 1km from the pickup
554,"@Zoomcar_India Dear Team , How long does it take to verify the account, It's been 24 hours but yet my account is no… https://t.co/pREMkyG7Wk"
555,"@Zoomcar_India @Zoomcar_India @ZoomcarBLR
Almost 4 days has passed but still no update from your end."
556,"@Zoomcar_India 

Your app is not functioning!! Have u ever checked it ?? 

During signup after giving mobile number… https://t.co/fxDjQ28sYS"
557,"@Shubhm17613971 We regret the inconvenience caused to you. In order to assist you further, we would require your bo… https://t.co/IZpH47BRa7"
558,@coweed_786 Apologize for the inconvenience caused. Please allow us some time to check on your issue.
559,"@MWasayQuadri We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
560,"@MWasayQuadri We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
561,"@AshishK48272064 We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
562,@Zoomcar_India @Zoomcar_India still waiting for th3 respond from your team
563,@Zoomcar_India @Zoomcar_India really you guys have some seriousness on the customer question still it is not resolved and no call yet
564,@bhaskar_zer05 @Zoomcar_India They are a biggest fraud . Their car owner asks for extra 500 for car wash. Toll char… https://t.co/zNoqhe3sXi
565,@023ved Please accept our sincere apologies for the inconvenience caused. We did review your comment and this is de… https://t.co/csZA7Md796
566,@JagadishAn71754 hence no unused hour refund will be processed on the same.
567,@JagadishAn71754 We are sorry for the trouble caused. Please be informed that as per the update from the concerned… https://t.co/svgUTSkOjo
568,@Zoomcar_India Kindly reply to Direct message. @Zoomcar_India
569,"@ndshanbhag We regret the inconvenience caused to you. In order to assist you further, we would require your ticket… https://t.co/Y2QSUNLBmW"
570,@Zoomcar_India @Zoomcar_India No Response Yet
571,@Reeena28 @Zoomcar_India @reena28 do you receive email response?
572,@Zoomcar_India What’s the update? @Zoomcar_India
573,"@bhaskar_zer05 Hello Bhaskar, we are really sorry for the inconvenience caused, please allow us some time, we shall… https://t.co/3jPV3L9hb0"
574,"@Zoomcar_India @morang    only in the 2nd booking, my car reached Bihar, number plate was changed, liquor was getti… https://t.co/R5wET9SURH"
575,"@Zoomcar_India Shared, look into it please"
576,"@Zoomcar_India @Zoomcar_India bakwas service, no customer support. sleepy in true sense who doesnt listen to the query of their hosts."
577,@Zoomcar_India I am really annoyed by the level of customer service you provide. First of all your provided car is… https://t.co/CS39S4cSwW
578,@zoomcar_id @zoomcar_id @ZoomcarMUM @ZoomcarHYD @zooomcars Where is the car that I enrolled for the Zoomcar host programme?
579,How are you going to bring the car today at 11 pm since the car location as per your application parked more than 9… https://t.co/IDbsffXLSz
580,"@Zoomcar_India i will let the details of my issue later. However, can you let me know how the tickets are managed?… https://t.co/tzcd640Jac"
581,@oshujadaun We are sorry for the trouble caused. We did have a check and see that the booking has already been canc… https://t.co/rlvpY4w13n
582,@oshujadaun We are sorry for the trouble caused. We did have a check and see that the booking has already been canc… https://t.co/3iWGPTaEnb
583,"@LPallipuram We regret the inconvenience caused to you. In order to assist you further, we would require your ticke… https://t.co/jr4p3nwpGv"
584,@MayankG40025825 Please accept our sincere apologies for the inconvenience caused. We did review your comment and t… https://t.co/b2dnn0e0vM
585,@MayankG40025825 Please accept our sincere apologies for the inconvenience caused. We did review your comment and t… https://t.co/iAylrLoLRG
586,@MayankG40025825 Please accept our sincere apologies for the inconvenience caused. We did review your comment and t… https://t.co/gU1gQDGSvk
587,@MayankG40025825 Please accept our sincere apologies for the inconvenience caused. We did review your comment and t… https://t.co/fInfaiizlb
588,@Zoomcar_India how do I reach out to your customer service ? I created many tickets thru chatbot but was never cont… https://t.co/tQ0QuNM0Sk
589,"@quiktweeter We regret the inconvenience caused to you. In order to assist you further, we would require your booki… https://t.co/y32iMUyIi3"
590,@Zoomcar_India This has been pending for a while now and your customer support team keep on closing the ticket just… https://t.co/hvzAQ8OqRF
591,@sarkar_ai We kindly request you share with us the requested details through the Direct Message. We shall check and… https://t.co/XryIFP0Ryt
592,"@sarkar_ai We are sorry for the inconvenience caused. As per Zoomcar's privacy policy, we are sorry to inform yout… https://t.co/d4XNXbFMPZ"
593,@Zoomcar_India Please note that I’ve proven to your legal team with photos and you can check all phone conversation… https://t.co/f3FXX11g3j
594,"@herrgautam We are sorry for the inconvenience caused. As checked, we see that the charges levied were dropping the… https://t.co/sbkrScWtr4"
595,"You don't need to 'zoom' in to notice the eye-catching #Zoomcar ads, on your way out from #Hyderabad #Airport. … https://t.co/7k2ep6UNSV"
596,"@VikasPa82036439 We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
597,"@VikasPa82036439 We are sorry for the inconvenience caused. Request you to kindly share your booking ID, we will have a check on the issue."
598,"@Zoomcar_India @Zoomcar_India Hello Team, I still haven’t heard back from you or your team. Please understand this… https://t.co/nFFdG57kHC"
599,@Zoomcar_India JPS69X2TJ is the booking id booking made on 5 march 2022
600,@Zoomcar_India JPS69X2TJ Is for booking done on 5 march 2022
601,@Zoomcar_India I can provide the booking ID but last night your customer care executive went to utmost heights of b… https://t.co/Y0BoxEWXBr
602,@nickx000 We are sorry for the discrepancy in the billing and for the trouble that you had to go through. Please sh… https://t.co/O1rGmLqHyo
603,@Anirudh55090177 @Zoomcar_India Now I am thinking I should delist car from zoom host as the company not give any re… https://t.co/qACjl3wb5i
604,@Anukritiojha1 Please accept our sincere apologies for the inconvenience caused. We did review your comment and thi… https://t.co/SIKNoCXbUv
605,@Anukritiojha1 Please accept our sincere apologies for the inconvenience caused. We did review your comment and thi… https://t.co/t7xQpewwlD
606,@Zoomcar_India Still no reply waiting
607,"@Zoomcar_India I thought you will respond with lightning speed but after my elaboration, the space went empty... Cold silent..."
608,@Zoomcar_India @Zoomcar_India  i have still not received the refund.
609,"Hi @Zoomcar_India, There is no option in your app or web for updating phone numbers and Gmail. What type of freedom… https://t.co/lOvn5KyLz4"
610,@Zoomcar_India There is no option in your app or web for updating phone number and Gmail. What type of freedom you… https://t.co/GHSftOTMID
611,@AnandDandatekar Please accept our sincere apologies for the inconvenience caused. We did review your comment and t… https://t.co/sBUEgYFJMz
612,@Zoomcar_India I haven’t received my toll tax refund!
613,"@Zoomcar_India 
I’m still waiting for the answer from your legal team for the excess money taken from me illegally… https://t.co/QGSPxFPTVk"
